method,model,scenario,aggregation_weight,split,evaluation_period,eval_scope,mae_mean,mae_std,mae_count,rmse_mean,rmse_std,rmse_count,r2_mean,r2_std,r2_count,spearman_mean,spearman_std,spearman_count,mape_mean,mape_std,mape_count,persistence_rmse,skill_vs_persistence
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2024,all_available,0.9810978508832161,0.06529932121983537,3,1.2635505342877302,0.02972948203947249,3,0.9076041993183512,0.004341545157923179,3,0.9417879417879419,0.006331316836191894,3,10.050575608461758,0.8121626348615428,3,0.5850528541125696,-1.1597203148497273
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2024,nlp_regions,0.5915868017408582,0.39226128506758484,3,0.6257260654323075,0.4110678948465184,3,0.9860848642694636,0.01337710706511795,3,1.0,0.0,3,7.183325717763688,3.784902399844784,3,0.7601754183520192,0.1768662201826834
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2024,non_nlp_regions,1.0144845122382755,0.04954474152552253,3,1.3001298361015527,0.027229373844012434,3,0.89111396270626,0.004532450792571458,3,0.9273576097105508,0.005477127684803889,3,10.29633988480731,0.7486933478736152,3,0.5675335106531473,-1.2908424114116102
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2025,all_available,0.713420826092101,0.059437311640570895,3,0.9781425419424562,0.07604776247715439,3,0.9442419310203687,0.008802691426392955,3,0.9721340773972352,0.005335146661772318,3,8.204651136164406,0.6211651372523632,3,0.8968116037560954,-0.09068898957788263
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2025,nlp_regions,1.3522574636671278,0.19949177202611684,3,1.4881650770196861,0.14908859738630034,3,0.9383595696530675,0.012102423139856579,3,1.0,0.0,3,16.786141073910574,2.379332885353443,3,1.1538052984219946,-0.28978873563414864
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,2025,non_nlp_regions,0.6586634000142415,0.07804171898912857,3,0.9190341501073113,0.10419164589808062,3,0.9450095018078893,0.012757590014711181,3,0.9767507002801121,0.006181534031012344,3,7.469094855786163,0.8775067014887397,3,0.8712634503983285,-0.054829224945844635
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,combined,all_available,0.8472593384876586,0.03658792505492725,3,1.1303927352369574,0.040546727582723555,3,0.9259899952943683,0.005294412445118612,3,0.9572353957778396,0.003147922219930191,3,9.127613372313084,0.4333670308763625,3,0.7571518654592496,-0.4929537742752821
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,combined,nlp_regions,0.971922132703993,0.29494222754138416,3,1.157571606783824,0.20067480868499257,3,0.9622836438978478,0.012667406198015931,3,0.961904761904762,0.03299144395369285,3,11.98473339583713,3.067736928289999,3,0.9770192765072078,-0.18479914840788125
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,test,combined,non_nlp_regions,0.8365739561262585,0.045671858017536565,3,1.1266686894640465,0.054278771616394626,3,0.918143070886635,0.007941586211845453,3,0.9534474112341108,0.003610463822909132,3,8.882717370296737,0.5897484953957809,3,0.7352531148231494,-0.532354867663559
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2018,all_available,0.4675691838850055,0.07593156078678369,3,0.6174969770459152,0.07844067363689551,3,0.9799685297929667,0.005046276287861868,3,0.9838594970134723,0.0006833723267216297,3,4.561398051401713,0.72305337388798,3,0.7269710049962536,0.1505892631177257
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2018,nlp_regions,0.5982943110995823,0.12300079933971567,3,0.7406689736087407,0.21946433683410335,3,0.9839098712290782,0.008740313495874018,3,1.0,0.0,3,5.580192943356664,0.7034652885232592,3,0.49564772436345006,-0.49434555471825536
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2018,non_nlp_regions,0.45636417298089893,0.07268730043490285,3,0.6048838712125506,0.06457948635343269,3,0.9791116352457038,0.004451141728794896,3,0.9812078367550311,0.0008442767404053044,3,4.474072774948431,0.7251432338179791,3,0.743457175248562,0.18639043195686666
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2019,all_available,0.412955221376921,0.04567157461619045,3,0.5480554034722294,0.057453414631206026,3,0.9831985829690254,0.00339136842935308,3,0.9807418754787175,0.005099542706086471,3,4.637650562832651,0.5879001679948489,3,0.37348641911474906,-0.4674038343114322
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2019,nlp_regions,0.23198111852010092,0.09078779846001712,3,0.2820644533718571,0.1233710132403145,3,0.9974028012776391,0.0022693849332367172,3,1.0,0.0,3,2.301539489558525,1.1040786146534582,3,0.374076640988627,0.2459714869487596
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2019,non_nlp_regions,0.42846728733607703,0.045410322968999065,3,0.5644358258869645,0.05773855901873591,3,0.980481758892771,0.003854365211773114,3,0.977124183006536,0.006414096917122515,3,4.8378886548275775,0.5957413434949936,3,0.3734357852620524,-0.5114668924695607
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2020,all_available,0.40589022636413574,0.05993125410791712,3,0.508793642102939,0.06452766854646064,3,0.9871209908073464,0.00321493025957418,3,0.9788258481576588,0.006728657509504915,3,4.129997468908866,0.7134730430667904,3,0.785056149517177,0.351901590203636
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2020,nlp_regions,0.3516792191399469,0.03986697391400307,3,0.45375695454703496,0.04290513720061933,3,0.9948582353263947,0.0009568954462872636,3,1.0,0.0,3,2.3088990364481594,0.13799645413387582,3,1.023067283548186,0.556473985783885
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2020,non_nlp_regions,0.4105368841262091,0.06553201099953437,3,0.5127632152168986,0.07135378627728865,3,0.9854901377065731,0.003943130712797359,3,0.9731773957614136,0.008612625073095452,3,4.286091620262639,0.7722041343473568,3,0.7612001801666325,0.32637533650523987
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2021,all_available,0.4005127956992702,0.019352549005070028,3,0.5169039584992277,0.02314703803951941,3,0.9876669852566362,0.0011161537181781178,3,0.9827844038370355,0.0016425327715210785,3,3.7460325022815124,0.27883651400440823,3,1.0972945197885091,0.5289286976491463
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2021,nlp_regions,0.20620658662584093,0.049565047650261346,3,0.2729710541433721,0.07440931340099612,3,0.9982509581609434,0.0008482137453017704,3,1.0,0.0,3,1.379470624003507,0.19092462937718852,3,1.4884667726668714,0.8166092390129123
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2021,non_nlp_regions,0.41716761361984983,0.025258599245649816,3,0.5322436177523432,0.02719330316216807,3,0.9853986984294195,0.0015104665668379275,3,0.9788048552754436,0.0021023959382255176,3,3.948880663276769,0.3167770877064995,3,1.0570511543237362,0.4964826294590693
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2022,all_available,0.41316476202847663,0.013323342703541631,3,0.5578107968043335,0.023345405286574104,3,0.9824546380884565,0.0014834257846455079,3,0.9849728270780903,0.0036378765407715954,3,4.312466589344837,0.23530076404264055,3,0.0,-inf
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2022,nlp_regions,0.46340142356024844,0.13798421950783873,3,0.5869247118587724,0.16124284266653996,3,0.9900448282051469,0.005475188182279199,3,1.0,0.0,3,3.8432675355780757,0.8496513868679652,3,0.0,-inf
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,2022,non_nlp_regions,0.40885876246861047,0.02009557612906613,3,0.5534526548650264,0.03664405850396648,3,0.9807701297737563,0.0025765841140911647,3,0.9814192343604109,0.00519782097468412,3,4.352683651096274,0.25585096705050075,3,0.0,-inf
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,combined,all_available,0.4200184378707618,0.041291942150113295,3,0.5516082913193036,0.04686543257859689,3,0.9843710509825897,0.002636938624855653,3,0.9864076588493554,0.003073492744978378,3,4.2775090349539155,0.49252695171887856,3,0.7054569254633555,0.21808366831610826
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,w_equal,train,combined,nlp_regions,0.37031253178914386,0.03310497479627998,3,0.5105960928859626,0.06482157884786341,3,0.993192087077318,0.0016480759201284057,3,0.9857142857142857,0.006185895741317461,3,3.082673925788986,0.2698387582164588,3,0.8541428451962819,0.40221229299341876
