method,model,scenario,seed,split,evaluation_period,eval_scope,n_labels,mae,rmse,r2,spearman,mape,aggregation_weight,diagnostic_only,best_epoch,best_val_loss,parameter_count,actual_hidden_dim,duration_seconds
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,combined,all_available,190,0.46046219123037235,0.5974904075277738,0.9817507451316625,0.9834721552203483,4.6972377181591645,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,combined,nlp_regions,15,0.382868226369222,0.5508215191311261,0.9921613846010848,0.9892857142857142,3.2905202670136338,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,combined,non_nlp_regions,175,0.46711310250418525,0.6013220879628258,0.9795945896558715,0.9800351882331835,4.817813499685925,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,combined,all_available,38,0.8219494066740337,1.078234169530925,0.9360587080283056,0.9481862464266197,8.112340247660917,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,combined,nlp_regions,3,0.3741428057352702,0.5165029533988816,0.9926417687598095,1.0,2.9874848084449,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,combined,non_nlp_regions,35,0.860332829611642,1.1132712828476568,0.9247071229864241,0.9367602796275668,8.551613571022289,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,combined,all_available,76,0.8619515425280521,1.1693195592230408,0.9208728019157777,0.9537037671950573,9.312477983265643,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,combined,nlp_regions,6,0.6610276699066162,0.9474714997567998,0.9752285717049469,0.942857142857143,8.479481343324203,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,combined,non_nlp_regions,70,0.8791735887527465,1.1864064115945783,0.9093728129650072,0.9494348603475861,9.383877695260622,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2018,all_available,38,0.5481889247894287,0.6965734892964985,0.9747808784660337,0.9830935069701964,5.2566313498508235,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2018,nlp_regions,3,0.7003981272379557,0.9415907281953279,0.9754341470891095,1.0,6.201956545905812,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2018,non_nlp_regions,35,0.5351424217224121,0.671424423773312,0.9744572886772042,0.9803207531568989,5.175603475903254,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2019,all_available,38,0.44136654075823334,0.5801070792133992,0.9813128491291243,0.9792099792099791,4.944385037375871,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2019,nlp_regions,3,0.3365909258524577,0.4245209037496214,0.9947823422864858,1.0,3.573733930321568,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2019,non_nlp_regions,35,0.45034730775015697,0.5915419679416996,0.9787105959448558,0.9750700280112046,5.061869417980526,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2020,all_available,38,0.46389049605319377,0.571192882217043,0.9839404816458338,0.9712753748739384,4.786633806654763,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2020,nlp_regions,3,0.3723958333333333,0.4601700095871393,0.9947432017046907,1.0,2.429893473085905,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2020,non_nlp_regions,35,0.47173289571489607,0.579720632651265,0.9816896586033184,0.9635128534028158,4.988640120960664,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2021,all_available,38,0.4228274194817794,0.543379994109676,0.9863894201136024,0.9811795601269284,4.044131233603831,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2021,nlp_regions,3,0.14899555842081705,0.18846463898883398,0.9992056187513955,1.0,1.1620311780366759,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2021,non_nlp_regions,35,0.44629872185843333,0.5634940061412853,0.9836621793825862,0.9767507002801121,4.291168381223872,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2022,all_available,38,0.42603757506922674,0.5845613392966403,0.9807539397894819,0.9816172447751396,4.454407163310534,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2022,nlp_regions,3,0.3559606870015462,0.45048337890890605,0.9944163062414696,1.0,3.0849862077182086,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,train,2022,non_nlp_regions,35,0.4320441654750279,0.5946487230335751,0.9778655360514771,0.9764705882352942,4.571786102361305,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,2023,all_available,38,0.8219494066740337,1.078234169530925,0.9360587080283056,0.9481862464266197,8.112340247660917,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,2023,nlp_regions,3,0.3741428057352702,0.5165029533988816,0.9926417687598095,1.0,2.9874848084449,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,val,2023,non_nlp_regions,35,0.860332829611642,1.1132712828476568,0.9247071229864241,0.9367602796275668,8.551613571022289,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2024,all_available,38,0.9432899136292306,1.2654273672619456,0.907363701048105,0.9345661450924608,9.705398143740652,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2024,nlp_regions,3,0.1683049201965332,0.18666157919829332,0.9990383700419888,1.0,2.9195230603052913,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2024,non_nlp_regions,35,1.0097171987806048,1.317412142839596,0.8882326153932201,0.9212885154061625,10.287044579463684,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2025,all_available,38,0.7806131714268735,1.0645703552831227,0.9342182250763119,0.9741766057555531,8.919557822790631,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2025,nlp_regions,3,1.1537504196166992,1.3268616885546127,0.9513235901645674,1.0,14.039439626343112,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,42,test,2025,non_nlp_regions,35,0.7486299787248883,1.0390118347950765,0.9303116969498475,0.9773109243697479,8.48071081105756,w_equal,False,173.0,1.269225835800171,29357.0,164.0,6.525906801223755
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,52,train,combined,all_available,190,0.37792759694551165,0.5038178402656756,0.9870243134519674,0.9896026835104293,3.7352989809664594,w_equal,False,240.0,1.0933969020843506,29357.0,164.0,7.65807032585144
AGGREGATE_WEAK_SUPERVISION,MLP,J1_PCD,52,train,combined,nlp_regions,15,0.33276640574137367,0.43581827757856867,0.99509286010775,0.9785714285714284,2.7777212069369916,w_equal,False,240.0,1.0933969020843506,29357.0,164.0,7.65807032585144
